"School","Year","Games","Wins","Losses","Ties","PreseasonRank","PostseasonRank","Srs","SpOverall","SpOffense","SpDefense","FirstName","LastName","HireDate"
"Arizona State","2024","14","11","3","0","","7","13.4","9.4","32.4","20.9","Kenny","Dillingham",""
"NC State","2024","13","6","7","0","24","","-2.1","3.9","29.9","26.5","Dave","Doeren","2012-12-01T00:00:00.000Z"
"Temple","2024","10","3","7","0","","","-17","-20.3","17.3","37.8","Stan","Drayton","2021-12-15T00:00:00.000Z"
"Utah State","2024","12","4","8","0","","","-11.7","-10.4","30.2","40.3","Nate","Dreiling",""
"Missouri","2024","13","10","3","0","11","22","8.9","14","33.7","18.7","Eli","Drinkwitz","2019-12-09T00:00:00.000Z"
"TCU","2024","13","9","4","0","","","9.2","10.8","34.6","22.8","Sonny","Dykes","2021-11-29T00:00:00.000Z"
"Texas A&M","2024","13","8","5","0","20","","12.2","17","34","18.6","Mike","Elko",""
"Georgia State","2024","0","0","0","0","","","-12.9","-17.9","21","37.4","Shawn","Elliott","2016-12-08T00:00:00.000Z"
"Virginia","2024","12","5","7","0","","","-1.9","-5.1","23.7","29.3","Tony","Elliott","2021-12-10T00:00:00.000Z"
"Iowa","2024","13","8","5","0","25","","12.4","15.8","27","13.3","Kirk","Ferentz","1998-12-02T00:00:00.000Z"
"Wisconsin","2024","12","5","7","0","","","4","3","23","19.8","Luke","Fickell",""
"Washington","2024","13","6","7","0","","","4.8","3.1","27.3","22.4","Jedd","Fisch",""
"Minnesota","2024","13","8","5","0","","","12.6","10.4","25.6","15.4","P.J.","Fleck","2017-01-06T00:00:00.000Z"
"UCLA","2024","12","5","7","0","","","2.1","-1.3","21.3","23.3","Deshaun","Foster",""
"Penn State","2024","16","13","3","0","8","5","19.3","24.6","37.5","13.1","James","Franklin","2014-01-11T00:00:00.000Z"
"Notre Dame","2024","16","14","2","0","7","2","22","23.9","38.6","14.1","Marcus","Freeman","2021-12-03T00:00:00.000Z"
"Auburn","2024","12","5","7","0","","","6.3","9.5","27.9","17.8","Hugh","Freeze",""
"Houston","2024","12","4","8","0","","","-2","-8.2","18.1","24.5","Willie","Fritz",""
"South Florida","2024","13","7","6","0","","","-4.5","-2.3","29.5","33.4","Alex","Golesh",""
"Oklahoma State","2024","12","3","9","0","17","","-1.8","-2.6","29.4","31.7","Mike","Gundy","2005-01-03T00:00:00.000Z"
"Southern Miss","2024","7","1","6","0","","","-23.9","-25.6","14.4","39.4","Will","Hall","2020-12-02T00:00:00.000Z"
"Northern Illinois","2024","13","8","5","0","","","-1.1","-3.5","20","21.6","Thomas","Hammock","2019-01-18T00:00:00.000Z"
"East Carolina","2024","6","5","1","0","","","-5.3","-1","28.5","29.7","Blake","Harrell",""
"Georgia Southern","2024","13","8","5","0","","","-2.5","-1.7","26.5","30.1","Clay","Helton","2021-11-02T00:00:00.000Z"
"Western Kentucky","2024","14","8","6","0","","","-5.4","-2.2","22.1","26.1","Tyson","Helton","2018-11-27T00:00:00.000Z"
"Florida Atlantic","2024","10","2","8","0","","","-15.4","-12.7","20.8","32.1","Tom","Herman",""
"Tennessee","2024","13","10","3","0","15","9","14.3","22","33.7","13.5","Josh","Heupel","2021-01-27T00:00:00.000Z"
"Houston","2024","0","0","0","0","","","-2","-8.2","18.1","24.5","Dana","Holgorsen","2019-01-01T00:00:00.000Z"
"East Carolina","2024","7","3","4","0","","","-5.3","-1","28.5","29.7","Mike","Houston","2018-12-03T00:00:00.000Z"
"Marshall","2024","13","10","3","0","","","3.5","3.1","29.6","26.9","Charles","Huff","2021-01-16T00:00:00.000Z"
"Ball State","2024","2","0","2","0","","","-13.4","-19.8","21.3","40.8","Colin","Johnson",""
"Arkansas State","2024","13","8","5","0","","","-11.5","-9.9","24.6","35.2","Butch","Jones","2020-12-12T00:00:00.000Z"
"Washington State","2024","1","0","1","0","","","-0.3","1.3","34","31.1","Pete","Kaligis",""
"Sam Houston","2024","12","9","3","0","","","-6.2","-6.9","19","23.8","K.C.","Keeler",""
"LSU","2024","13","9","4","0","13","","12.9","15.9","36.8","21.7","Brian","Kelly","2021-11-30T00:00:00.000Z"
"Georgia Tech","2024","13","7","6","0","","","5.5","1.9","31.1","27.9","Brent","Key",""
"Ole Miss","2024","13","10","3","0","6","11","19.2","27.9","37.7","11.9","Lane","Kiffin","2019-12-07T00:00:00.000Z"
"Texas State","2024","13","8","5","0","","","0.9","5.4","34.2","28.4","G.J.","Kinne",""
"North Carolina","2024","1","0","1","0","","","0.7","5","31.5","26.3","Freddie","Kitchens",""
"Kansas State","2024","13","9","4","0","18","","11.8","14.1","33","20.4","Chris","Klieman","2018-12-10T00:00:00.000Z"
"Oregon","2024","14","13","1","0","3","3","17.1","26","40.8","16.3","Dan","Lanning","2021-12-11T00:00:00.000Z"
"SMU","2024","14","11","3","0","","12","15.7","17.5","38.2","21.1","Rhett","Lashlee","2021-11-30T00:00:00.000Z"
"Vanderbilt","2024","13","7","6","0","","","7.4","4.9","28.2","25.4","Clark","Lea","2020-12-14T00:00:00.000Z"
"Mississippi State","2024","12","2","10","0","","","-1.6","-4.1","25.5","31.2","Jeff","Lebby",""
"Kansas","2024","12","5","7","0","22","","10.8","4.9","32.4","26.5","Lance","Leipold","2021-04-30T00:00:00.000Z"
"Buffalo","2024","13","9","4","0","","","-6.1","-4","25.4","30.2","Pete","Lembo",""
"San Diego State","2024","12","3","9","0","","","-16.6","-15.4","17.7","32.1","Sean","Lewis",""
"Buffalo","2024","0","0","0","0","","","-6.1","-4","25.4","30.2","Maurice","Linguist","2014-12-01T00:00:00.000Z"
"Maryland","2024","12","4","8","0","","","-2","-3.9","23.3","27.1","Mike","Locksley","2018-12-04T00:00:00.000Z"
"Bowling Green","2024","13","7","6","0","","","-1.9","-1.8","25.6","27.2","Scot","Loeffler","2018-11-28T00:00:00.000Z"
"Florida Atlantic","2024","2","1","1","0","","","-15.4","-12.7","20.8","32.1","Chad","Lunsford",""
"Florida International","2024","12","4","8","0","","","-11.6","-12.1","20.5","31.3","Mike","MacIntyre","2021-12-09T00:00:00.000Z"
"UCF","2024","12","4","8","0","","","6.2","2.8","29","25.8","Gus","Malzahn","2021-02-15T00:00:00.000Z"
"Miami (OH)","2024","14","9","5","0","","","-0.1","1.3","23.2","23.2","Chuck","Martin","2013-12-03T00:00:00.000Z"
"Middle Tennessee","2024","12","3","9","0","","","-23.2","-24.4","13.7","37.3","Derek","Mason",""
"Central Michigan","2024","12","4","8","0","","","-13.1","-15.8","17.7","34.3","Jim","McElwain","2018-12-03T00:00:00.000Z"
"Georgia State","2024","12","3","9","0","","","-12.9","-17.9","21","37.4","Dell","McGee",""
"Texas Tech","2024","13","8","5","0","","","3.9","4.3","33.5","30.8","Joey","McGuire","2021-11-08T00:00:00.000Z"
"New Mexico","2024","12","5","7","0","","","-12.4","-14.8","27.6","40.5","Bronco","Mendenhall",""
"Army","2024","14","12","2","0","","21","6.6","9.2","31.1","21.7","Jeff","Monken","2013-12-24T00:00:00.000Z"
"Massachusetts","2024","2","0","2","0","","","-17.4","-21.9","20.5","40.3","Shane","Montgomery",""
"Michigan","2024","13","8","5","0","9","","8.9","10.6","24.1","15.1","Sherrone","Moore",""
"Akron","2024","12","4","8","0","","","-12.9","-17.9","15.7","34.6","Joe","Moorhead","2021-12-04T00:00:00.000Z"
"UConn","2024","13","9","4","0","","","-1.1","1.5","26.9","25.7","Jim","Mora","2021-11-11T00:00:00.000Z"
"North Texas","2024","13","6","7","0","","","-5.5","-4.5","33.3","37","Eric","Morris",""
"Florida","2024","13","8","5","0","","","11.7","13.8","31.7","20","Billy","Napier","2021-11-28T00:00:00.000Z"
"Pittsburgh","2024","13","7","6","0","","","4.5","4.9","29.3","26.3","Pat","Narduzzi","2014-12-16T00:00:00.000Z"
"Ball State","2024","10","3","7","0","","","-13.4","-19.8","21.3","40.8","Mike","Neu","2016-01-17T00:00:00.000Z"
"Navy","2024","13","10","3","0","","","5.7","3.5","29.5","24.4","Brian","Newberry",""
"San José State","2024","13","7","6","0","","","-7.1","-5.5","26.1","30.1","Ken","Niumatalolo",""
"Colorado State","2024","13","8","5","0","","","-8.2","-5.7","24.2","29.2","Jay","Norvell","2021-12-06T00:00:00.000Z"
"Florida State","2024","12","2","10","0","10","","-6.7","-3.2","20.1","25.3","Mike","Norvell","2019-12-07T00:00:00.000Z"
"Boston College","2024","13","7","6","0","","","6.1","1.2","28","24.7","Bill","O'Brien",""
"UNLV","2024","14","11","3","0","","23","7.2","9.3","32.6","24.6","Barry","Odom",""
"Troy","2024","0","0","0","0","","","-9.6","-6.6","24.1","30.1","Gerad","Parker",""
"Troy","2024","12","4","8","0","","","-9.6","","","","Gerad","Parker",""
"Arkansas","2024","13","7","6","0","","","6.1","11","31.4","21.7","Sam","Pittman","2019-12-08T00:00:00.000Z"
"Charlotte","2024","10","3","7","0","","","-12.4","-15.3","21.4","37.6","Biff","Poggi",""
"Virginia Tech","2024","13","6","7","0","","","10.4","10","31.3","22.4","Brent","Pry","2021-11-30T00:00:00.000Z"
"Old Dominion","2024","12","5","7","0","","","-1.6","-6","25.7","31.3","Ricky","Rahne","2019-12-07T00:00:00.000Z"
"Nebraska","2024","13","7","6","0","","","8.5","5.5","23.1","15.8","Matt","Rhule",""
"USC","2024","13","7","6","0","23","","12.1","11.9","35.6","24","Lincoln","Riley","2021-11-28T00:00:00.000Z"
"Jacksonville State","2024","14","9","5","0","","","-2.8","-1","28.8","28.3","Rich","Rodriguez",""
"New Mexico State","2024","12","3","9","0","","","-22.1","-19","17.8","38.1","Tony","Sanchez",""
"Colorado","2024","13","9","4","0","","25","12.7","8.1","33.3","23.5","Deion","Sanders",""
"Texas","2024","16","13","3","0","4","4","19.4","24.1","36.6","10.8","Steve","Sarkisian","2021-01-02T00:00:00.000Z"
"Cincinnati","2024","12","5","7","0","","","4.4","-0.1","25.6","25","Scott","Satterfield",""
"Wyoming","2024","12","3","9","0","","","-12.1","-13.6","16.3","30.8","Jay","Sawvel",""
"Rutgers","2024","13","7","6","0","","","5.1","6.4","28.5","22.8","Greg","Schiano","2019-11-30T00:00:00.000Z"
"West Virginia","2024","1","0","1","0","","","1.2","2.1","30.1","29.7","Chad","Scott",""
"Memphis","2024","13","11","2","0","","24","3.2","9.6","36.7","28.2","Ryan","Silverfield","2019-12-13T00:00:00.000Z"
"BYU","2024","13","11","2","0","","13","14.8","15.3","32","18.8","Kalani","Sitake","2015-12-19T00:00:00.000Z"
"Fresno State","2024","13","6","7","0","","","-6","-3.8","25.1","27.6","Tim","Skipper",""
"Georgia","2024","14","11","3","0","1","6","16.3","24.3","37.3","14.9","Kirby","Smart","2015-12-06T00:00:00.000Z"
"Michigan State","2024","12","5","7","0","","","-2.8","-4.6","18","24.1","Jonathan","Smith",""
"Kentucky","2024","12","4","8","0","","","3","5.5","24.5","20.9","Mark","Stoops","2012-11-27T00:00:00.000Z"
"Southern Miss","2024","5","0","5","0","","","-23.9","-25.6","14.4","39.4","Reed","Stringer",""
"Tulane","2024","14","9","5","0","","","7.4","5.7","32.9","27.1","Jon","Sumrall",""
"Clemson","2024","14","10","4","0","14","14","11.9","13.3","35.4","20.9","Dabo","Swinney","2008-10-15T00:00:00.000Z"
"Tulsa","2024","1","0","1","0","","","-23.8","-20.6","21.2","40.3","Ryan","Switzer",""
"Western Michigan","2024","13","6","7","0","","","-7.6","-10.2","24.7","36","Lance","Taylor",""
"Stanford","2024","12","3","9","0","","","-5.7","-8.2","24.4","34.1","Troy","Taylor",""
"UTSA","2024","13","7","6","0","","","-3.6","2.2","32.3","31.5","Jeff","Traylor","2019-12-09T00:00:00.000Z"
"Oklahoma","2024","13","6","7","0","16","","7","9.5","25.9","17.8","Brent","Venables","2021-12-05T00:00:00.000Z"
"UL Monroe","2024","12","5","7","0","","","-9.8","-16.7","16.9","32.5","Bryant","Vincent",""
"UTEP","2024","12","3","9","0","","","-20.2","-22.7","13.7","34.2","Scotty","Walden",""
"Purdue","2024","12","1","11","0","","","-8","-16.2","19.2","33.6","Ryan","Walters",""
"Utah","2024","12","5","7","0","12","","6.1","7.7","23.6","17.2","Kyle","Whittingham","2004-12-08T00:00:00.000Z"
"California","2024","13","6","7","0","","","1.8","4","27.4","22.9","Justin","Wilcox","2017-01-14T00:00:00.000Z"
"Tulsa","2024","11","3","8","0","","","-23.8","-20.6","21.2","40.3","Kevin","Wilson",""
"Temple","2024","2","0","2","0","","","-17","-20.3","17.3","37.8","Everett","Withers",""
