"School","Year","Games","Wins","Losses","Ties","PreseasonRank","PostseasonRank","Srs","SpOverall","SpOffense","SpDefense","FirstName","LastName","HireDate"
"Rice","2024","4","2","2","0","","","-8.6","-11.4","20.5","30.4","Pete","Alamar",""
"Ohio","2024","14","11","3","0","","","1.7","2.3","27.2","23.9","Tim","Albin","2021-07-14T00:00:00.000Z"
"Utah State","2024","0","0","0","0","","","-11.7","-10.4","30.2","40.3","Blake","Anderson","2020-12-12T00:00:00.000Z"
"South Alabama","2024","13","7","6","0","","","-1.7","2.8","29.9","26.9","Major","Applewhite",""
"Baylor","2024","13","8","5","0","","","11.5","8.4","33.5","26.2","Dave","Aranda","2020-01-22T00:00:00.000Z"
"South Carolina","2024","13","9","4","0","","19","15.8","16.9","32.1","16","Shane","Beamer","2020-12-06T00:00:00.000Z"
"Coastal Carolina","2024","13","6","7","0","","","-9.2","-6.9","25.5","33.4","Tim","Beck",""
"Illinois","2024","13","10","3","0","","16","8.8","9.6","29","20.9","Bret","Bielema","2020-12-19T00:00:00.000Z"
"Rice","2024","8","2","6","0","","","-8.6","-11.4","20.5","30.4","Mike","Bloomgren","2017-12-06T00:00:00.000Z"
"Kennesaw State","2024","9","1","8","0","","","-23.3","-25.1","10.2","35.1","Brian","Bohannon",""
"Northwestern","2024","12","4","8","0","","","-3.3","-8.2","17.5","24.3","David","Braun",""
"Oregon State","2024","12","5","7","0","","","-9.2","-6.7","26.1","32.7","Trent","Bray",""
"Arizona","2024","12","4","8","0","21","","-3.9","-2.8","24.4","29","Brent","Brennan",""
"Charlotte","2024","2","2","0","0","","","-12.4","-15.3","21.4","37.6","Tim","Brewster",""
"Louisville","2024","13","9","4","0","","","15.4","13.6","37.7","22.9","Jeff","Brohm",""
"Massachusetts","2024","10","2","8","0","","","-17.4","-21.9","20.5","40.3","Don","Brown","2021-11-22T00:00:00.000Z"
"Syracuse","2024","13","10","3","0","","20","6","5.5","35.8","28.9","Fran","Brown",""
"North Carolina","2024","12","6","6","0","","","0.7","5","31.5","26.3","Mack","Brown","2018-11-27T00:00:00.000Z"
"West Virginia","2024","12","6","6","0","","","1.2","2.1","30.1","29.7","Neal","Brown","2019-01-04T00:00:00.000Z"
"Kennesaw State","2024","3","1","2","0","","","-23.3","-25.1","10.2","35.1","Chandler","Burks",""
"Kent State","2024","12","0","12","0","","","-26.8","-33","12.6","43.8","Kenni","Burns",""
"Air Force","2024","12","5","7","0","","","-11.5","-11.7","17.8","27.5","Troy","Calhoun","2006-12-22T00:00:00.000Z"
"Iowa State","2024","14","11","3","0","","15","11.2","10.3","30.8","20.2","Matt","Campbell","2015-11-29T00:00:00.000Z"
"Toledo","2024","13","8","5","0","","","-2","-2.5","24.5","26.3","Jason","Candle","2015-12-02T00:00:00.000Z"
"Liberty","2024","12","8","4","0","","","-9.9","0.2","28.2","26.6","Jamey","Chadwell",""
"Hawai'i","2024","12","5","7","0","","","-12.9","-10.9","20.9","30","Timmy","Chang","2022-01-22T00:00:00.000Z"
"James Madison","2024","13","9","4","0","","","1.3","7.5","29.7","22.9","Bob","Chesney",""
"Nevada","2024","13","3","10","0","","","-9.2","-15.2","21","34.2","Jeff","Choate",""
"Indiana","2024","13","11","2","0","","10","17.7","20.1","35","16.4","Curt","Cignetti",""
"App State","2024","11","5","6","0","","","-7.6","-8.1","27.2","33.6","Shawn","Clark","2019-12-13T00:00:00.000Z"
"Wake Forest","2024","12","4","8","0","","","-6.2","-5.7","25.8","31.8","Dave","Clawson","2013-12-09T00:00:00.000Z"
"Sam Houston","2024","1","1","0","0","","","-6.2","-6.9","19","23.8","Brad","Cornelsen",""
"Eastern Michigan","2024","12","5","7","0","","","-12.1","-13.3","20.5","34.3","Chris","Creighton","2013-12-11T00:00:00.000Z"
"Miami","2024","13","10","3","0","19","18","15.5","21.6","44.2","24.3","Mario","Cristobal","2021-12-06T00:00:00.000Z"
"Louisiana Tech","2024","13","5","8","0","","","-12.6","-11.6","15.9","26.3","Sonny","Cumbie","2021-11-30T00:00:00.000Z"
"Boise State","2024","14","12","2","0","","8","9.9","10.1","35.3","24.2","Spencer","Danielson",""
"Ohio State","2024","16","14","2","0","2","1","24.6","31.2","39.5","9.2","Ryan","Day","2018-12-04T00:00:00.000Z"
"Alabama","2024","13","9","4","0","5","17","18.1","25","37.9","14.6","Kalen","DeBoer",""
"Louisiana","2024","14","10","4","0","","","-1.7","4.8","31.5","27.8","Michael","Desormeaux","2021-12-05T00:00:00.000Z"
"Duke","2024","13","9","4","0","","","1.6","5.6","26.7","21.3","Manny","Diaz",""
"Washington State","2024","12","8","4","0","","","-0.3","1.3","34","31.1","Jake","Dickert","2021-10-18T00:00:00.000Z"
"UAB","2024","12","3","9","0","","","-11.6","-11.3","25.9","38","Trent","Dilfer",""
