"Id","HomeTeam","AwayTeam","LineProvider","Spread","FormattedSpread"
"401287887","Iowa State","Northern Iowa","consensus","-28.5","Iowa State -28.5"
"401287887","Iowa State","Northern Iowa","William Hill (New Jersey)","-28.5","Iowa State -28.5"
"401287887","Iowa State","Northern Iowa","Bovada","-29.0","Iowa State -29.0"
"401309913","BYU","Boise State","teamrankings","-6","BYU -6"
"401309913","BYU","Boise State","consensus","-6","BYU -6"
"401309913","BYU","Boise State","William Hill (New Jersey)","-6","BYU -6"
"401309913","BYU","Boise State","Bovada","-6.5","BYU -6.5"
"401309566","Bowling Green","Akron","teamrankings","-14","Bowling Green -14"
"401309566","Bowling Green","Akron","consensus","-14","Bowling Green -14"
"401309566","Bowling Green","Akron","William Hill (New Jersey)","-14","Bowling Green -14"
"401309566","Bowling Green","Akron","Bovada","-14.0","Bowling Green -14.0"
"401309571","Buffalo","Ohio","teamrankings","-7.5","Buffalo -7.5"
"401309571","Buffalo","Ohio","consensus","-7.5","Buffalo -7.5"
"401309571","Buffalo","Ohio","William Hill (New Jersey)","-7.5","Buffalo -7.5"
"401309571","Buffalo","Ohio","Bovada","-7.5","Buffalo -7.5"
"401309569","Central Michigan","Toledo","teamrankings","5","Toledo -5"
"401309569","Central Michigan","Toledo","consensus","5","Toledo -5"
"401309569","Central Michigan","Toledo","William Hill (New Jersey)","5","Toledo -5"
"401309569","Central Michigan","Toledo","Bovada","5.0","Toledo -5.0"
"401309570","Northern Illinois","Bowling Green","teamrankings","-9","Northern Illinois -9"
"401309570","Northern Illinois","Bowling Green","consensus","-9","Northern Illinois -9"
"401309570","Northern Illinois","Bowling Green","William Hill (New Jersey)","-9","Northern Illinois -9"
"401309570","Northern Illinois","Bowling Green","Bovada","-9.0","Northern Illinois -9.0"
"401309572","Western Michigan","Kent State","teamrankings","-7","Western Michigan -7"
"401309572","Western Michigan","Kent State","consensus","-7","Western Michigan -7"
"401309572","Western Michigan","Kent State","William Hill (New Jersey)","-6.5","Western Michigan -6.5"
"401309572","Western Michigan","Kent State","Bovada","-6.5","Western Michigan -6.5"
"401309875","Colorado","Arizona","teamrankings","-6","Colorado -6"
"401309875","Colorado","Arizona","consensus","-6","Colorado -6"
"401309875","Colorado","Arizona","William Hill (New Jersey)","-6","Colorado -6"
"401309875","Colorado","Arizona","Bovada","-6.0","Colorado -6.0"
"401310721","Wyoming","Fresno State","teamrankings","3","Fresno State -3"
"401310721","Wyoming","Fresno State","consensus","3","Fresno State -3"
"401310721","Wyoming","Fresno State","William Hill (New Jersey)","3","Fresno State -3"
"401310721","Wyoming","Fresno State","Bovada","3.0","Fresno State -3.0"
"401310719","New Mexico","Colorado State","teamrankings","13","Colorado State -13"
"401310719","New Mexico","Colorado State","consensus","13","Colorado State -13"
"401310719","New Mexico","Colorado State","William Hill (New Jersey)","13","Colorado State -13"
"401310719","New Mexico","Colorado State","Bovada","11.5","Colorado State -11.5"
"401309614","Coastal Carolina","UL Monroe","teamrankings","-33.5","Coastal Carolina -33.5"
"401309614","Coastal Carolina","UL Monroe","consensus","-33.5","Coastal Carolina -33.5"
"401309614","Coastal Carolina","UL Monroe","William Hill (New Jersey)","-33.5","Coastal Carolina -33.5"
"401309614","Coastal Carolina","UL Monroe","Bovada","-34.0","Coastal Carolina -34.0"
"401309612","Georgia State","App State","teamrankings","10.5","App State -10.5"
"401309612","Georgia State","App State","consensus","10","App State -10"
"401309612","Georgia State","App State","William Hill (New Jersey)","10","App State -10"
"401309612","Georgia State","App State","Bovada","10.0","App State -10.0"
"401309613","Georgia Southern","Arkansas State","teamrankings","-1.5","Georgia Southern -1.5"
"401309613","Georgia Southern","Arkansas State","consensus","-2","Georgia Southern -2"
"401309613","Georgia Southern","Arkansas State","William Hill (New Jersey)","-2","Georgia Southern -2"
"401309613","Georgia Southern","Arkansas State","Bovada","-2.0","Georgia Southern -2.0"
"401309871","USC","Utah","teamrankings","-3","USC -3"
"401309871","USC","Utah","consensus","-3","USC -3"
"401309871","USC","Utah","William Hill (New Jersey)","-3","USC -3"
"401309871","USC","Utah","Bovada","-3.0","USC -3.0"
"401282770","Maryland","Michigan","teamrankings","16","Michigan -16"
"401282770","Maryland","Michigan","consensus","15.5","Michigan -15.5"
"401282770","Maryland","Michigan","William Hill (New Jersey)","16","Michigan -16"
"401282770","Maryland","Michigan","Bovada","16.0","Michigan -16.0"
"401282262","Florida International","North Texas","teamrankings","10","North Texas -10"
"401282262","Florida International","North Texas","consensus","10","North Texas -10"
"401282262","Florida International","North Texas","William Hill (New Jersey)","10","North Texas -10"
"401282262","Florida International","North Texas","Bovada","10.5","North Texas -10.5"
"401282721","Iowa","Illinois","teamrankings","-12","Iowa -12"
"401282721","Iowa","Illinois","consensus","-12","Iowa -12"
"401282721","Iowa","Illinois","William Hill (New Jersey)","-12","Iowa -12"
"401282721","Iowa","Illinois","Bovada","-11.5","Iowa -11.5"
"401282698","Pittsburgh","Virginia","teamrankings","-12.5","Pittsburgh -12.5"
"401282698","Pittsburgh","Virginia","consensus","-13.5","Pittsburgh -13.5"
"401282698","Pittsburgh","Virginia","William Hill (New Jersey)","-12.5","Pittsburgh -12.5"
"401282698","Pittsburgh","Virginia","Bovada","-15.5","Pittsburgh -15.5"
"401282695","NC State","Syracuse","teamrankings","-11","NC State -11"
"401282695","NC State","Syracuse","consensus","-11.5","NC State -11.5"
"401282695","NC State","Syracuse","William Hill (New Jersey)","-11.5","NC State -11.5"
"401282695","NC State","Syracuse","Bovada","-11.5","NC State -11.5"
"401282267","UTSA","UAB","teamrankings","-3.5","UTSA -3.5"
"401282267","UTSA","UAB","consensus","-4","UTSA -4"
"401282267","UTSA","UAB","William Hill (New Jersey)","-3.5","UTSA -3.5"
"401282267","UTSA","UAB","Bovada","-4.0","UTSA -4.0"
"401282264","Louisiana Tech","Southern Miss","teamrankings","-15.5","Louisiana Tech -15.5"
"401282264","Louisiana Tech","Southern Miss","consensus","-15.5","Louisiana Tech -15.5"
"401282264","Louisiana Tech","Southern Miss","William Hill (New Jersey)","-15.5","Louisiana Tech -15.5"
"401282264","Louisiana Tech","Southern Miss","Bovada","-15.0","Louisiana Tech -15.0"
"401282786","Ohio State","Michigan State","teamrankings","-19.5","Ohio State -19.5"
"401282786","Ohio State","Michigan State","consensus","-19.5","Ohio State -19.5"
"401282786","Ohio State","Michigan State","William Hill (New Jersey)","-19.5","Ohio State -19.5"
"401282786","Ohio State","Michigan State","Bovada","-19.0","Ohio State -19.0"
"401282697","Notre Dame","Georgia Tech","teamrankings","-18","Notre Dame -18"
"401282697","Notre Dame","Georgia Tech","consensus","-17.5","Notre Dame -17.5"
"401282697","Notre Dame","Georgia Tech","William Hill (New Jersey)","-18","Notre Dame -18"
"401282697","Notre Dame","Georgia Tech","Bovada","-18.0","Notre Dame -18.0"
"401282693","Clemson","Wake Forest","teamrankings","-3.5","Clemson -3.5"
"401282693","Clemson","Wake Forest","consensus","-3.5","Clemson -3.5"
"401282693","Clemson","Wake Forest","William Hill (New Jersey)","-3.5","Clemson -3.5"
"401282693","Clemson","Wake Forest","Bovada","-3.5","Clemson -3.5"
"401282803","Wisconsin","Nebraska","teamrankings","-10","Wisconsin -10"
"401282803","Wisconsin","Nebraska","consensus","-10","Wisconsin -10"
"401282803","Wisconsin","Nebraska","William Hill (New Jersey)","-10","Wisconsin -10"
"401282803","Wisconsin","Nebraska","Bovada","-9.5","Wisconsin -9.5"
"401282144","Texas A&M","Prairie View A&M","consensus","-41.5","Texas A&M -41.5"
"401282144","Texas A&M","Prairie View A&M","William Hill (New Jersey)","-41.5","Texas A&M -41.5"
"401282144","Texas A&M","Prairie View A&M","Bovada","-41.5","Texas A&M -41.5"
"401282263","Western Kentucky","Florida Atlantic","teamrankings","-11.5","Western Kentucky -11.5"
"401282263","Western Kentucky","Florida Atlantic","consensus","-10.5","Western Kentucky -10.5"
"401282263","Western Kentucky","Florida Atlantic","William Hill (New Jersey)","-11.5","Western Kentucky -11.5"
"401282263","Western Kentucky","Florida Atlantic","Bovada","-11.0","Western Kentucky -11.0"
"401282692","Boston College","Florida State","teamrankings","-3","Boston College -3"
"401282692","Boston College","Florida State","consensus","-3","Boston College -3"
"401282692","Boston College","Florida State","William Hill (New Jersey)","-3","Boston College -3"
"401282692","Boston College","Florida State","Bovada","-3.0","Boston College -3.0"
"401281946","Clemson","Georgia","teamrankings","-3","Clemson -3"
"401281946","Clemson","Georgia","numberfire","-2.5","Clemson -2.5"
"401281946","Clemson","Georgia","consensus","-2.5","Clemson -2.5"
"401281946","Clemson","Georgia","William Hill (New Jersey)","-2.5","Clemson -2.5"
"401281946","Clemson","Georgia","Bovada","-2.5","Clemson -2.5"
"401300998","SMU","Abilene Christian","consensus","-32","SMU -32"
"401300998","SMU","Abilene Christian","William Hill (New Jersey)","-32","SMU -32"
"401300998","SMU","Abilene Christian","Bovada","-32.0","SMU -32.0"
"401309543","Toledo","Norfolk State","consensus","-39.5","Toledo -39.5"
"401309543","Toledo","Norfolk State","William Hill (New Jersey)","-39.5","Toledo -39.5"
"401309543","Toledo","Norfolk State","Bovada","-39.5","Toledo -39.5"
"401281945","Florida","Florida Atlantic","teamrankings","-23.5","Florida -23.5"
"401281945","Florida","Florida Atlantic","numberfire","-23.5","Florida -23.5"
"401281945","Florida","Florida Atlantic","consensus","-23.5","Florida -23.5"
"401281945","Florida","Florida Atlantic","William Hill (New Jersey)","-23.5","Florida -23.5"
"401281945","Florida","Florida Atlantic","Bovada","-23.5","Florida -23.5"
"401281947","Kentucky","UL Monroe","teamrankings","-31","Kentucky -31"
"401281947","Kentucky","UL Monroe","numberfire","-31.5","Kentucky -31.5"
"401281947","Kentucky","UL Monroe","consensus","-31","Kentucky -31"
"401281947","Kentucky","UL Monroe","William Hill (New Jersey)","-31","Kentucky -31"
"401281947","Kentucky","UL Monroe","Bovada","-31.0","Kentucky -31.0"
"401282609","Boston College","Colgate","consensus","-42.5","Boston College -42.5"
"401282609","Boston College","Colgate","William Hill (New Jersey)","-42.5","Boston College -42.5"
"401282609","Boston College","Colgate","Bovada","-42.5","Boston College -42.5"
"401282772","Michigan","Western Michigan","teamrankings","-16.5","Michigan -16.5"
"401282772","Michigan","Western Michigan","numberfire","-16.5","Michigan -16.5"
"401282772","Michigan","Western Michigan","consensus","-16.5","Michigan -16.5"
"401282772","Michigan","Western Michigan","William Hill (New Jersey)","-16.5","Michigan -16.5"
"401282772","Michigan","Western Michigan","Bovada","-16.5","Michigan -16.5"
"401310861","Air Force","Lafayette","consensus","-40.5","Air Force -40.5"
"401310861","Air Force","Lafayette","William Hill (New Jersey)","-40.5","Air Force -40.5"
"401310861","Air Force","Lafayette","Bovada","-41.0","Air Force -41.0"
"401310697","Wyoming","Montana State","consensus","-19","Wyoming -19"
"401310697","Wyoming","Montana State","William Hill (New Jersey)","-19","Wyoming -19"
"401310697","Wyoming","Montana State","Bovada","-19.0","Wyoming -19.0"
"401282611","Ohio","Syracuse","teamrankings","-2","Ohio -2"
"401282611","Ohio","Syracuse","numberfire","-2.5","Ohio -2.5"
"401282611","Ohio","Syracuse","consensus","-2","Ohio -2"
"401282611","Ohio","Syracuse","William Hill (New Jersey)","-2","Ohio -2"
"401282611","Ohio","Syracuse","Bovada","-2.0","Ohio -2.0"
"401282819","Purdue","Oregon State","teamrankings","-7","Purdue -7"
"401282819","Purdue","Oregon State","numberfire","-7.5","Purdue -7.5"
"401282819","Purdue","Oregon State","consensus","-7","Purdue -7"
"401282819","Purdue","Oregon State","William Hill (New Jersey)","-7","Purdue -7"
"401282819","Purdue","Oregon State","Bovada","-7.0","Purdue -7.0"
"401287886","Houston","Texas Tech","teamrankings","-2.5","Houston -2.5"
"401287886","Houston","Texas Tech","numberfire","-2.5","Houston -2.5"
"401287886","Houston","Texas Tech","consensus","-2.5","Houston -2.5"
"401287886","Houston","Texas Tech","William Hill (New Jersey)","-2.5","Houston -2.5"
"401287886","Houston","Texas Tech","Bovada","-2.5","Houston -2.5"
"401287890","Oklahoma State","Missouri State","Bovada","-38.0","Oklahoma State -38.0"
"401287893","Texas State","Baylor","teamrankings","13.5","Baylor -13.5"
"401287893","Texas State","Baylor","numberfire","13.5","Baylor -13.5"
"401287893","Texas State","Baylor","consensus","13.5","Baylor -13.5"
"401287893","Texas State","Baylor","William Hill (New Jersey)","13.5","Baylor -13.5"
"401287893","Texas State","Baylor","Bovada","14.0","Baylor -14.0"
"401300997","Memphis","Nicholls","consensus","-22.5","Memphis -22.5"
"401300997","Memphis","Nicholls","William Hill (New Jersey)","-22.5","Memphis -22.5"
"401300997","Memphis","Nicholls","Bovada","-23.5","Memphis -23.5"
"401309598","Arkansas State","Central Arkansas","consensus","-13.5","Arkansas State -13.5"
"401309598","Arkansas State","Central Arkansas","William Hill (New Jersey)","-13.5","Arkansas State -13.5"
"401309598","Arkansas State","Central Arkansas","Bovada","-14.0","Arkansas State -14.0"
"401309602","Troy","Southern","consensus","-25","Troy -25"
"401309602","Troy","Southern","William Hill (New Jersey)","-25","Troy -25"
"401309602","Troy","Southern","Bovada","-25.0","Troy -25.0"
"401282175","North Texas","Northwestern State","consensus","-20","North Texas -20"
"401282175","North Texas","Northwestern State","William Hill (New Jersey)","-20","North Texas -20"
"401282175","North Texas","Northwestern State","Bovada","-20.5","North Texas -20.5"
"401282179","Illinois","UTSA","teamrankings","-4.5","Illinois -4.5"
"401282179","Illinois","UTSA","numberfire","-4.5","Illinois -4.5"
"401282179","Illinois","UTSA","consensus","-4.5","Illinois -4.5"
"401282179","Illinois","UTSA","William Hill (New Jersey)","-4.5","Illinois -4.5"
"401282179","Illinois","UTSA","Bovada","-4.5","Illinois -4.5"
"401282614","Florida State","Notre Dame","teamrankings","7","Notre Dame -7"
"401282614","Florida State","Notre Dame","numberfire","7.5","Notre Dame -7.5"
"401282614","Florida State","Notre Dame","consensus","7.5","Notre Dame -7.5"
