Id,home_market,away_market,LineProvider,Spread,FormattedSpread
401525857,Oklahoma State,Kansas State,William Hill (New Jersey),12,Kansas State -12
401525857,Oklahoma State,Kansas State,Bovada,11.5,Kansas State -11.5
401525857,Oklahoma State,Kansas State,DraftKings,11.5,Kansas State -11.5
401520412,Mississippi State,Southern Miss,DraftKings,-14,Mississippi State -14
401520412,Mississippi State,Southern Miss,Bovada,-18.5,Mississippi State -18.5
401520412,Mississippi State,Southern Miss,ESPN Bet,-18.5,Mississippi State -18.5
401532619,Utah State,Boise State,DraftKings,4,Boise State -4
401532619,Utah State,Boise State,Bovada,5,Boise State -5.0
401532619,Utah State,Boise State,ESPN Bet,5.5,Boise State -5.5
401532623,San José State,San Diego State,DraftKings,-14,San José State -14
401532623,San José State,San Diego State,Bovada,-16.5,San José State -16.5
401532623,San José State,San Diego State,ESPN Bet,-16.5,San José State -16.5
401520301,Illinois,Nebraska,William Hill (New Jersey),-3,Illinois -3
401520301,Illinois,Nebraska,Bovada,-3,Illinois -3.0
401520301,Illinois,Nebraska,DraftKings,-3.5,Illinois -3.5
401540574,William & Mary,Richmond,ESPN Bet,-3.5,William & Mary -3.5
401540597,East Tennessee State,The Citadel,ESPN Bet,-9.5,East Tennessee State -9.5
401541635,Colgate,Fordham,ESPN Bet,6,Fordham -6
401552541,Pennsylvania,Princeton,ESPN Bet,-3,Pennsylvania -3
401539977,North Carolina Central,Delaware State,ESPN Bet,-25,North Carolina Central -25
401539992,Norfolk State,South Carolina State,ESPN Bet,-4.5,Norfolk State -4.5
401540182,Austin Peay,Central Arkansas,ESPN Bet,-6,Austin Peay -6
401540198,Eastern Kentucky,Stephen F. Austin,ESPN Bet,-7,Eastern Kentucky -7
401540265,Montana,Montana State,ESPN Bet,6.5,Montana State -6.5
401540282,Northern Colorado,Portland State,ESPN Bet,11.5,Portland State -11.5
401540306,Southern Illinois,Indiana State,ESPN Bet,-24,Southern Illinois -24
401540123,Prairie View A&M,Alabama State,ESPN Bet,6,Alabama State -6
401540140,Texas Southern,Arkansas-Pine Bluff,ESPN Bet,-20,Texas Southern -20
401540382,Lamar,McNeese,ESPN Bet,-10,Lamar -10
401540287,UC Davis,Sacramento State,ESPN Bet,-2,UC Davis -2
401540388,Northern Iowa,North Dakota State,ESPN Bet,8.5,North Dakota State -8.5
401540250,Idaho,Idaho State,ESPN Bet,-22,Idaho -22
401540234,Cal Poly,Weber State,ESPN Bet,16.5,Weber State -16.5
401540147,Florida A&M,Bethune-Cookman,ESPN Bet,16.5,Bethune-Cookman -16.5
401540243,Eastern Washington,Northern Arizona,ESPN Bet,-3.5,Eastern Washington -3.5
401540230,Montana State,Cal Poly,William Hill (New Jersey),-39,Montana State -39
401540289,Weber State,UC Davis,William Hill (New Jersey),2,UC Davis -2
401531380,UAB,South Florida,William Hill (New Jersey),3,South Florida -3
401531380,UAB,South Florida,Bovada,3,South Florida -3.0
401531380,UAB,South Florida,DraftKings,3.5,South Florida -3.5
401520338,Iowa,Minnesota,William Hill (New Jersey),-3.5,Iowa -3.5
401520338,Iowa,Minnesota,DraftKings,-3.5,Iowa -3.5
401520338,Iowa,Minnesota,Bovada,-3,Iowa -3.0
401525528,Georgia Tech,Boston College,William Hill (New Jersey),-6,Georgia Tech -6
401525528,Georgia Tech,Boston College,Bovada,-6,Georgia Tech -6.0
401525528,Georgia Tech,Boston College,DraftKings,-5.5,Georgia Tech -5.5
401525893,BYU,Oklahoma,DraftKings,24,Oklahoma -24
401525893,BYU,Oklahoma,Bovada,24.5,Oklahoma -24.5
401525893,BYU,Oklahoma,ESPN Bet,24.5,Oklahoma -24.5
401540537,Tennessee State,Tennessee Tech,ESPN Bet,-8,Tennessee State -8
401524062,USC,UCLA,ESPN Bet,-5,USC -5
401524062,USC,UCLA,Bovada,-5,USC -5.0
401524062,USC,UCLA,DraftKings,-6,USC -6
401525554,Clemson,North Carolina,ESPN Bet,-7.5,Clemson -7.5
401525554,Clemson,North Carolina,Bovada,-8,Clemson -8.0
401525554,Clemson,North Carolina,DraftKings,-7.5,Clemson -7.5
401531409,Charlotte,Rice,Bovada,1,Rice -1.0
401531409,Charlotte,Rice,DraftKings,2,Rice -2
401531409,Charlotte,Rice,ESPN Bet,-0.5,Charlotte -0.5
401531431,Memphis,SMU,DraftKings,7.5,SMU -7.5
401531431,Memphis,SMU,Bovada,9.5,SMU -9.5
401531431,Memphis,SMU,ESPN Bet,9.5,SMU -9.5
401531917,Georgia Southern,Old Dominion,DraftKings,-7,Georgia Southern -7
401531917,Georgia Southern,Old Dominion,Bovada,-5.5,Georgia Southern -5.5
401531917,Georgia Southern,Old Dominion,ESPN Bet,-4.5,Georgia Southern -4.5
401540007,Wagner,Central Connecticut,William Hill (New Jersey),2.5,Central Connecticut -2.5
401540023,Long Island University,Merrimack,William Hill (New Jersey),-2.5,Long Island University -2.5
401544197,Yale,Pennsylvania,William Hill (New Jersey),-6,Yale -6
401534854,Howard,Norfolk State,William Hill (New Jersey),-10,Howard -10
401539974,Delaware State,South Carolina State,William Hill (New Jersey),7,South Carolina State -7
401540015,Duquesne,St. Francis (PA),William Hill (New Jersey),-3,Duquesne -3
401540052,Bucknell,Lehigh,William Hill (New Jersey),-3,Bucknell -3
401540069,Holy Cross,Lafayette,William Hill (New Jersey),-14.5,Holy Cross -14.5
401540011,Central Connecticut,St. Francis (PA),ESPN Bet,7,St. Francis (PA) -7
401540019,Merrimack,Duquesne,ESPN Bet,-2.5,Merrimack -2.5
401540064,Holy Cross,Georgetown,ESPN Bet,-21,Holy Cross -21
401525830,Oklahoma,SMU,William Hill (New Jersey),-16,Oklahoma -16
401525830,Oklahoma,SMU,Bovada,-16.5,Oklahoma -16.5
401525830,Oklahoma,SMU,DraftKings,-16.5,Oklahoma -16.5
401520314,Florida International,UTEP,William Hill (New Jersey),-3.5,Florida International -3.5
401520314,Florida International,UTEP,Bovada,-3.5,Florida International -3.5
401520314,Florida International,UTEP,DraftKings,1.5,UTEP -1.5
401540213,McNeese,Tarleton State,Bovada,3.5,Tarleton State -3.5
401540264,Portland State,Montana,ESPN Bet,10.5,Montana -10.5
401540114,Alabama A&M,Mississippi Valley State,ESPN Bet,-14,Alabama A&M -14
401540199,Mercer,North Alabama,William Hill (New Jersey),-23.5,Mercer -23.5
401540437,SE Louisiana,Nicholls,ESPN Bet,-2.5,SE Louisiana -2.5
401540077,Lehigh,Lafayette,ESPN Bet,10.5,Lafayette -10.5
401540345,Yale,Harvard,ESPN Bet,-3,Yale -3
401540483,Robert Morris,Eastern Illinois,ESPN Bet,10.5,Eastern Illinois -10.5
401540520,Butler,Drake,ESPN Bet,-5.5,Butler -5.5
401540604,Wofford,Furman,ESPN Bet,20,Furman -20
401540212,Utah Tech,Southern Utah,ESPN Bet,12,Southern Utah -12
401540159,Grambling,Southern,ESPN Bet,-1.5,Grambling -1.5
401540078,Lehigh,Villanova,William Hill (New Jersey),19,Villanova -19
401540311,Campbell,William & Mary,William Hill (New Jersey),17.5,William & Mary -17.5
401539978,Richmond,Morgan State,Bovada,-25.5,Richmond -25.5
401540027,Sacred Heart,Lafayette,Bovada,-5.5,Sacred Heart -5.5
401540043,Fordham,Wagner,Bovada,-28,Fordham -28.0
401540548,Rhode Island,Stony Brook,William Hill (New Jersey),-24.5,Rhode Island -24.5
401540286,Sacramento State,East Texas A&M,Bovada,-34.5,Sacramento State -34.5
401540383,North Dakota State,Maine,Caesars Sportsbook (Colorado),-35.5,North Dakota State -35.5
401540310,Northern Iowa,Weber State,William Hill (New Jersey),-7.5,Northern Iowa -7.5
401540099,Illinois State,Dayton,William Hill (New Jersey),-19,Illinois State -19
401540099,Illinois State,Dayton,Bovada,-19,Illinois State -19.0
401540017,Wagner,Duquesne,ESPN Bet,13.5,Duquesne -13.5
401540071,Lehigh,Holy Cross,ESPN Bet,22,Holy Cross -22
401540296,Brown,Yale,ESPN Bet,5.5,Yale -5.5
401540518,Marist,Drake,ESPN Bet,8,Drake -8
401540557,Presbyterian,San Diego,ESPN Bet,5,San Diego -5
401540075,Lafayette,Colgate,ESPN Bet,-15.5,Lafayette -15.5
401540343,Columbia,Harvard,ESPN Bet,13.5,Harvard -13.5
401540054,Fordham,Bucknell,ESPN Bet,-18.5,Fordham -18.5
401540304,Indiana State,Youngstown State,ESPN Bet,19.5,Youngstown State -19.5
401540328,Delaware,Elon,ESPN Bet,-14.5,Delaware -14.5
401540284,UC Davis,Portland State,ESPN Bet,-6.5,UC Davis -6.5
401540263,Montana,Sacramento State,ESPN Bet,-2.5,Montana -2.5
401540162,Jackson State,Texas Southern,ESPN Bet,-15.5,Jackson State -15.5
401540139,Arkansas-Pine Bluff,Grambling,ESPN Bet,15.5,Grambling -15.5
401539976,Delaware State,Norfolk State,ESPN Bet,7,Norfolk State -7
401539985,South Carolina State,Morgan State,ESPN Bet,-2,South Carolina State -2
401534857,Howard,North Carolina Central,ESPN Bet,7.5,North Carolina Central -7.5
401540568,Valparaiso,Stetson,ESPN Bet,-7.5,Valparaiso -7.5
401540577,Stony Brook,UAlbany,ESPN Bet,23.5,UAlbany -23.5
401614616,Delaware,Lafayette,ESPN Bet,-7.5,Delaware -7.5
401614615,Austin Peay,Chattanooga,ESPN Bet,-5.5,Austin Peay -5.5
401615860,UAlbany,Richmond,ESPN Bet,-7.5,UAlbany -7.5
401615901,Furman,Chattanooga,ESPN Bet,-5.5,Furman -5.5
401540138,Prairie View A&M,Arkansas-Pine Bluff,ESPN Bet,-12,Prairie View A&M -12
401540331,Pennsylvania,Cornell,ESPN Bet,-10.5,Pennsylvania -10.5
401539485,Florida A&M,Prairie View A&M,Bovada,-17.5,Florida A&M -17.5
401539485,Florida A&M,Prairie View A&M,ESPN Bet,-17.5,Florida A&M -17.5
401540256,Idaho State,Weber State,ESPN Bet,8,Weber State -8
401614603,North Dakota,Sacramento State,ESPN Bet,-3,North Dakota -3
401615900,Montana State,North Dakota State,ESPN Bet,-3.5,Montana State -3.5
401614604,North Dakota State,Drake,ESPN Bet,-40.5,North Dakota State -40.5
401614601,Richmond,North Carolina Central,ESPN Bet,-5,Richmond -5
401614602,Southern Illinois,Nicholls,ESPN Bet,-14,Southern Illinois -14
401540458,Valparaiso,Morehead State,William Hill (New Jersey),1.5,Morehead State -1.5
401615859,Montana,Delaware,ESPN Bet,-21,Montana -21
401540006,Duquesne,Central Connecticut,William Hill (New Jersey),-9,Duquesne -9
401540104,Illinois State,Indiana State,William Hill (New Jersey),-15.5,Illinois State -15.5
401540110,Grambling,Alabama A&M,William Hill (New Jersey),-4.5,Grambling -4.5
401540120,Jackson State,Alabama State,William Hill (New Jersey),-11.5,Jackson State -11.5
401540136,Mississippi Valley State,Arkansas-Pine Bluff,William Hill (New Jersey),2,Arkansas-Pine Bluff -2
401540143,Bethune-Cookman,Texas Southern,William Hill (New Jersey),-3.5,Bethune-Cookman -3.5
401540195,Eastern Kentucky,Tarleton State,William Hill (New Jersey),-8,Eastern Kentucky -8
401540281,Northern Colorado,Sacramento State,William Hill (New Jersey),24,Sacramento State -24
401614600,Youngstown State,Duquesne,ESPN Bet,-21.5,Youngstown State -21.5
401520202,Michigan,UNLV,Bovada,-37.5,Michigan -37.5
401520202,Michigan,UNLV,DraftKings,-38,Michigan -38
401520202,Michigan,UNLV,William Hill (New Jersey),-38,Michigan -38
401540325,Delaware,North Carolina A&T,William Hill (New Jersey),-21,Delaware -21
401520182,Florida State,LSU,Bovada,1.5,LSU -1.5
401520182,Florida State,LSU,DraftKings,2.5,LSU -2.5
401520182,Florida State,LSU,teamrankings,2.5,LSU -2.5
401520182,Florida State,LSU,consensus,2.5,LSU -2.5
401520182,Florida State,LSU,William Hill (New Jersey),2,LSU -2
401540365,Murray State,Southern Illinois,William Hill (New Jersey),21,Southern Illinois -21
401540408,South Dakota State,Northern Iowa,William Hill (New Jersey),-24,South Dakota State -24
401615939,Villanova,Youngstown State,ESPN Bet,-6,Villanova -6
401540480,Southeast Missouri State,Eastern Illinois,William Hill (New Jersey),-12,Southeast Missouri State -12
401540575,Stony Brook,Fordham,William Hill (New Jersey),10.5,Fordham -10.5
401540593,East Tennessee State,Wofford,William Hill (New Jersey),-4,East Tennessee State -4
401540204,Abilene Christian,North Alabama,William Hill (New Jersey),-7.5,Abilene Christian -7.5
401540275,Northern Arizona,Portland State,William Hill (New Jersey),-7,Northern Arizona -7
401540246,Idaho,Montana,William Hill (New Jersey),-13,Idaho -13
401540066,Yale,Holy Cross,William Hill (New Jersey),2.5,Holy Cross -2.5
401539983,Morgan State,North Carolina Central,William Hill (New Jersey),14,North Carolina Central -14
401540294,Cornell,Brown,William Hill (New Jersey),5.5,Brown -5.5
401540072,Lafayette,Columbia,William Hill (New Jersey),5.5,Columbia -5.5
401540044,Sacred Heart,Wagner,William Hill (New Jersey),-11.5,Sacred Heart -11.5
401540313,Monmouth,Campbell,Caesars Sportsbook (Colorado),-3,Monmouth -3
401540525,Presbyterian,Marist,William Hill (New Jersey),1,Marist -1
401540398,Marist,Davidson,William Hill (New Jersey),8,Davidson -8
401540545,North Carolina A&T,Richmond,William Hill (New Jersey),8,Richmond -8
401540564,Stetson,St. Thomas (MN),William Hill (New Jersey),6,St. Thomas (MN) -6
401540623,VMI,Samford,William Hill (New Jersey),14,Samford -14
401540338,Dartmouth,Columbia,William Hill (New Jersey),-6,Dartmouth -6
401540587,Chattanooga,East Tennessee State,William Hill (New Jersey),-18,Chattanooga -18
401540016,Sacred Heart,Duquesne,William Hill (New Jersey),5.5,Duquesne -5.5
401540255,Sacramento State,Idaho State,William Hill (New Jersey),-16.5,Sacramento State -16.5
401617310,Montana,Furman,Bovada,-18,Montana -18.0
401617310,Montana,Furman,ESPN Bet,-14.5,Montana -14.5
401540146,Bethune-Cookman,Mississippi Valley State,ESPN Bet,-10.5,Bethune-Cookman -10.5
401540340,Dartmouth,Princeton,ESPN Bet,2.5,Princeton -2.5
401617307,South Dakota State,Villanova,Bovada,-20.5,South Dakota State -20.5
401617307,South Dakota State,Villanova,ESPN Bet,-20.5,South Dakota State -20.5
401617308,South Dakota,North Dakota State,Bovada,6.5,North Dakota State -6.5
401617308,South Dakota,North Dakota State,ESPN Bet,5.5,North Dakota State -5.5
401540009,Sacred Heart,Central Connecticut,ESPN Bet,-3,Sacred Heart -3
401617309,Idaho,UAlbany,Bovada,-4.5,Idaho -4.5
401617309,Idaho,UAlbany,ESPN Bet,-5.5,Idaho -5.5
401614599,Mercer,Gardner-Webb,ESPN Bet,-4,Mercer -4
401540217,Tarleton State,Stephen F. Austin,ESPN Bet,-1,Tarleton State -1
401540029,St. Francis (PA),Sacred Heart,Caesars Sportsbook (Colorado),-9.5,St. Francis (PA) -9.5
401615819,South Dakota,Sacramento State,ESPN Bet,-4,South Dakota -4
401540307,Yale,Cornell,Caesars Sportsbook (Colorado),-14.5,Yale -14.5
401615899,South Dakota State,Mercer,ESPN Bet,-33.5,South Dakota State -33.5
401540567,Stetson,Butler,Caesars Sportsbook (Colorado),9,Butler -9
401618179,South Dakota State,UAlbany,ESPN Bet,-17.5,South Dakota State -17.5
401618099,Montana,North Dakota State,ESPN Bet,1.5,North Dakota State -1.5
401540324,Delaware,New Hampshire,William Hill (New Jersey),2.5,New Hampshire -2.5
401540185,Central Arkansas,Abilene Christian,William Hill (New Jersey),-7,Central Arkansas -7
401525465,Pittsburgh,Wofford,Bovada,-37.5,Pittsburgh -37.5
401525465,Pittsburgh,Wofford,William Hill (New Jersey),-37.5,Pittsburgh -37.5
401540203,North Alabama,UT Martin,William Hill (New Jersey),12,UT Martin -12
401525468,Duke,Clemson,Bovada,12.5,Clemson -12.5
401525468,Duke,Clemson,DraftKings,13,Clemson -13
401525468,Duke,Clemson,teamrankings,13,Clemson -13
401525468,Duke,Clemson,consensus,12.5,Clemson -12.5
401525468,Duke,Clemson,Caesars Sportsbook (Colorado),12.5,Clemson -12.5
401540291,Harvard,Brown,Caesars Sportsbook (Colorado),-14.5,Harvard -14.5
401540291,Harvard,Brown,Bovada,-16.5,Harvard -16.5
401520341,Missouri,South Carolina,DraftKings,-7.5,Missouri -7.5
401520341,Missouri,South Carolina,Bovada,-7,Missouri -7.0
401520341,Missouri,South Carolina,William Hill (New Jersey),-7.5,Missouri -7.5
401531372,Tulane,North Texas,DraftKings,-20,Tulane -20
401531372,Tulane,North Texas,Bovada,-20.5,Tulane -20.5
401531372,Tulane,North Texas,William Hill (New Jersey),-20,Tulane -20
401525868,Cincinnati,Baylor,Bovada,-2.5,Cincinnati -2.5
401525868,Cincinnati,Baylor,DraftKings,-3,Cincinnati -3
401525868,Cincinnati,Baylor,William Hill (New Jersey),-2.5,Cincinnati -2.5
401531382,UAB,Memphis,Bovada,7.5,Memphis -7.5
401531382,UAB,Memphis,DraftKings,7,Memphis -7
401531382,UAB,Memphis,William Hill (New Jersey),7.5,Memphis -7.5
401520342,Nebraska,Northwestern,DraftKings,-10.5,Nebraska -10.5
401520342,Nebraska,Northwestern,Bovada,-10.5,Nebraska -10.5
401520342,Nebraska,Northwestern,William Hill (New Jersey),-10.5,Nebraska -10.5
401525880,Baylor,Houston,ESPN Bet,-2.5,Baylor -2.5
401525880,Baylor,Houston,Bovada,-2.5,Baylor -2.5
401525880,Baylor,Houston,DraftKings,-3,Baylor -3
401525881,Cincinnati,UCF,ESPN Bet,3.5,UCF -3.5
401525881,Cincinnati,UCF,Bovada,3.5,UCF -3.5
401525881,Cincinnati,UCF,DraftKings,3.5,UCF -3.5
401520379,Vanderbilt,Auburn,DraftKings,12.5,Auburn -12.5
401520379,Vanderbilt,Auburn,Bovada,12.5,Auburn -12.5
401520366,Liberty,Louisiana Tech,ESPN Bet,-14.5,Liberty -14.5
401520366,Liberty,Louisiana Tech,Bovada,-14,Liberty -14.0
401520366,Liberty,Louisiana Tech,DraftKings,-16.5,Liberty -16.5
401520443,Massachusetts,UConn,ESPN Bet,-2.5,Massachusetts -2.5
401520443,Massachusetts,UConn,DraftKings,2.5,UConn -2.5
401520443,Massachusetts,UConn,Bovada,-2.5,Massachusetts -2.5
401551739,Duke,Troy,Bovada,7,Troy -7
401551739,Duke,Troy,ESPN Bet,6.5,Troy -6.5
401520148,Minnesota,Nebraska,Bovada,-7.5,Minnesota -7.5
401520148,Minnesota,Nebraska,DraftKings,-7.5,Minnesota -7.5
401520148,Minnesota,Nebraska,teamrankings,-7,Minnesota -7
401520148,Minnesota,Nebraska,consensus,-7,Minnesota -7
401520148,Minnesota,Nebraska,William Hill (New Jersey),-7.5,Minnesota -7.5
401555031,South Dakota State,Montana,ESPN Bet,-14.5,South Dakota State -14.5
401555031,South Dakota State,Montana,Bovada,-12.5,South Dakota State -12.5
401523992,Oregon,Portland State,Bovada,-48.5,Oregon -48.5
401523992,Oregon,Portland State,William Hill (New Jersey),-48,Oregon -48
401523994,TCU,Colorado,Bovada,-21,TCU -21.0
401523994,TCU,Colorado,DraftKings,-20.5,TCU -20.5
401523994,TCU,Colorado,consensus,-20,TCU -20
401523994,TCU,Colorado,Caesars Sportsbook (Colorado),-21,TCU -21
401523994,TCU,Colorado,teamrankings,-20.5,TCU -20.5
401520180,Wisconsin,Buffalo,Bovada,-28.5,Wisconsin -28.5
401520180,Wisconsin,Buffalo,DraftKings,-28,Wisconsin -28
401520180,Wisconsin,Buffalo,teamrankings,-25.5,Wisconsin -25.5
401520180,Wisconsin,Buffalo,consensus,-24,Wisconsin -24
401520180,Wisconsin,Buffalo,William Hill (New Jersey),-29,Wisconsin -29
401525822,Oklahoma,Arkansas State,Bovada,-36.5,Oklahoma -36.5
401525822,Oklahoma,Arkansas State,DraftKings,-36,Oklahoma -36
401525822,Oklahoma,Arkansas State,teamrankings,-33,Oklahoma -33
401525822,Oklahoma,Arkansas State,William Hill (New Jersey),-36,Oklahoma -36
401520256,Indiana,Akron,Bovada,-16.5,Indiana -16.5
401520256,Indiana,Akron,DraftKings,-16.5,Indiana -16.5
401520256,Indiana,Akron,William Hill (New Jersey),-16.5,Indiana -16.5
401520167,North Carolina,South Carolina,Bovada,-2,North Carolina -2
401520167,North Carolina,South Carolina,DraftKings,-2.5,North Carolina -2.5
401520167,North Carolina,South Carolina,teamrankings,2.5,South Carolina -2.5
401520167,North Carolina,South Carolina,consensus,2.5,South Carolina -2.5
401520167,North Carolina,South Carolina,William Hill (New Jersey),2.5,South Carolina -2.5
401520259,Missouri,Memphis,Bovada,-6.5,Missouri -6.5
401520259,Missouri,Memphis,DraftKings,-6.5,Missouri -6.5
401520259,Missouri,Memphis,William Hill (New Jersey),-6.5,Missouri -6.5
401520168,Ole Miss,Mercer,Bovada,-34,Ole Miss -34.0
401520168,Ole Miss,Mercer,William Hill (New Jersey),-35,Ole Miss -35
401520173,Texas A&M,New Mexico,Bovada,-38,Texas A&M -38.0
401520173,Texas A&M,New Mexico,DraftKings,-38,Texas A&M -38
401520173,Texas A&M,New Mexico,teamrankings,-38,Texas A&M -38
401520173,Texas A&M,New Mexico,William Hill (New Jersey),-37.5,Texas A&M -37.5
401531347,Tulane,South Alabama,DraftKings,-6.5,Tulane -6.5
401531347,Tulane,South Alabama,Bovada,-6,Tulane -6.0
401531347,Tulane,South Alabama,teamrankings,-7,Tulane -7
401531347,Tulane,South Alabama,Caesars Sportsbook (Colorado),-6,Tulane -6
401520157,Iowa,Utah State,DraftKings,-23.5,Iowa -23.5
401520157,Iowa,Utah State,Bovada,-24,Iowa -24.0
401520157,Iowa,Utah State,teamrankings,-23,Iowa -23
401520157,Iowa,Utah State,William Hill (New Jersey),-24,Iowa -24
401525848,Kansas State,UCF,Bovada,-6.5,Kansas State -6.5
401525848,Kansas State,UCF,DraftKings,-3.5,Kansas State -3.5
401525848,Kansas State,UCF,William Hill (New Jersey),-6,Kansas State -6
401520159,Kentucky,Ball State,Bovada,-25.5,Kentucky -25.5
401520159,Kentucky,Ball State,DraftKings,-26.5,Kentucky -26.5
401520159,Kentucky,Ball State,teamrankings,-26.5,Kentucky -26.5
401520159,Kentucky,Ball State,William Hill (New Jersey),-25,Kentucky -25
401520160,Liberty,Bowling Green,DraftKings,-9.5,Liberty -9.5
401520160,Liberty,Bowling Green,Bovada,-7,Liberty -7.0
401520160,Liberty,Bowling Green,teamrankings,-12,Liberty -12
401520160,Liberty,Bowling Green,William Hill (New Jersey),-8.5,Liberty -8.5
401520276,Sam Houston,Jacksonville State,William Hill (New Jersey),7,Jacksonville State -7
401520276,Sam Houston,Jacksonville State,Bovada,6.5,Jacksonville State -6.5
401520276,Sam Houston,Jacksonville State,DraftKings,6.5,Jacksonville State -6.5
401520170,Purdue,Fresno State,DraftKings,-4,Purdue -4
401520170,Purdue,Fresno State,Bovada,-4,Purdue -4.0
401520170,Purdue,Fresno State,teamrankings,-4,Purdue -4
401520170,Purdue,Fresno State,consensus,-5.5,Purdue -5.5
401520170,Purdue,Fresno State,William Hill (New Jersey),-4,Purdue -4
401520172,SMU,Louisiana Tech,Bovada,-21,SMU -21.0
401520172,SMU,Louisiana Tech,DraftKings,-20,SMU -20
401520172,SMU,Louisiana Tech,teamrankings,-18.5,SMU -18.5
401520172,SMU,Louisiana Tech,Caesars Sportsbook (Colorado),-21,SMU -21
401525464,Boston College,Northern Illinois,DraftKings,-8.5,Boston College -8.5
401525464,Boston College,Northern Illinois,Bovada,-8,Boston College -8.0
401525464,Boston College,Northern Illinois,teamrankings,-9.5,Boston College -9.5
401525464,Boston College,Northern Illinois,consensus,-10,Boston College -10
401525464,Boston College,Northern Illinois,William Hill (New Jersey),-8,Boston College -8
401525851,BYU,Cincinnati,Bovada,-2.5,BYU -2.5
401525851,BYU,Cincinnati,DraftKings,2,Cincinnati -2
401525851,BYU,Cincinnati,William Hill (New Jersey),-1,BYU -1
401532395,Ohio,Long Island University,Bovada,-35.5,Ohio -35.5
401532395,Ohio,Long Island University,William Hill (New Jersey),-34.5,Ohio -34.5
401532570,Air Force,Robert Morris,Bovada,-46,Air Force -46.0
401532570,Air Force,Robert Morris,William Hill (New Jersey),-47,Air Force -47
401520158,Jacksonville State,East Tennessee State,William Hill (New Jersey),-20.5,Jacksonville State -20.5
401520158,Jacksonville State,East Tennessee State,Bovada,-20,Jacksonville State -20.0
401525820,Iowa State,Northern Iowa,Bovada,-7.5,Iowa State -7.5
401525820,Iowa State,Northern Iowa,William Hill (New Jersey),-7,Iowa State -7
401524023,Colorado,USC,DraftKings,21.5,USC -21.5
401524023,Colorado,USC,Bovada,21.5,USC -21.5
401524023,Colorado,USC,William Hill (New Jersey),22,USC -22
401531387,Temple,Akron,Bovada,-9.5,Temple -9.5
401531387,Temple,Akron,DraftKings,-10,Temple -10
401531387,Temple,Akron,teamrankings,-10.5,Temple -10.5
401531387,Temple,Akron,William Hill (New Jersey),-9.5,Temple -9.5
401520151,Auburn,Massachusetts,DraftKings,-35,Auburn -35
401520151,Auburn,Massachusetts,Bovada,-35,Auburn -35.0
401520151,Auburn,Massachusetts,teamrankings,-39,Auburn -39
401520151,Auburn,Massachusetts,consensus,-39,Auburn -39
401520151,Auburn,Massachusetts,Caesars Sportsbook (Colorado),-35,Auburn -35
401524024,Stanford,Oregon,Bovada,27,Oregon -27.0
401524024,Stanford,Oregon,DraftKings,27,Oregon -27
401524024,Stanford,Oregon,William Hill (New Jersey),27,Oregon -27
401520161,Maryland,Towson,Bovada,-38.5,Maryland -38.5
401520161,Maryland,Towson,William Hill (New Jersey),-38.5,Maryland -38.5
401520181,Western Kentucky,South Florida,DraftKings,-11.5,Western Kentucky -11.5
401520181,Western Kentucky,South Florida,Bovada,-13,Western Kentucky -13.0
401520181,Western Kentucky,South Florida,teamrankings,-13.5,Western Kentucky -13.5
401520181,Western Kentucky,South Florida,Caesars Sportsbook (Colorado),-13.5,Western Kentucky -13.5
401523991,North Texas,California,Bovada,4.5,California -4.5
401523991,North Texas,California,DraftKings,6.5,California -6.5
401523991,North Texas,California,teamrankings,7.5,California -7.5
401523991,North Texas,California,consensus,9,California -9
401523991,North Texas,California,William Hill (New Jersey),5,California -5
401520175,UL Monroe,Army,Bovada,8.5,Army -8.5
401520175,UL Monroe,Army,DraftKings,9,Army -9
401520175,UL Monroe,Army,teamrankings,7.5,Army -7.5
401520175,UL Monroe,Army,William Hill (New Jersey),8.5,Army -8.5
401523990,Colorado State,Washington State,Bovada,8.5,Washington State -8.5
401523990,Colorado State,Washington State,DraftKings,11,Washington State -11
401523990,Colorado State,Washington State,teamrankings,12.5,Washington State -12.5
401523990,Colorado State,Washington State,Caesars Sportsbook (Colorado),9.5,Washington State -9.5
401525438,Duke,Notre Dame,DraftKings,5.5,Notre Dame -5.5
401525438,Duke,Notre Dame,Bovada,5.5,Notre Dame -5.5
401525438,Duke,Notre Dame,William Hill (New Jersey),5.5,Notre Dame -5.5
401525817,Baylor,Texas State,Bovada,-27,Baylor -27.0
401525817,Baylor,Texas State,DraftKings,-27.5,Baylor -27.5
401525817,Baylor,Texas State,teamrankings,-25.5,Baylor -25.5
401525817,Baylor,Texas State,William Hill (New Jersey),-26.5,Baylor -26.5
401525514,Syracuse,Clemson,DraftKings,6.5,Clemson -6.5
401525514,Syracuse,Clemson,Bovada,7,Clemson -7.0
401525514,Syracuse,Clemson,William Hill (New Jersey),7,Clemson -7
401525819,Houston,UTSA,DraftKings,1.5,UTSA -1.5
401525819,Houston,UTSA,Bovada,2.5,UTSA -2.5
401525819,Houston,UTSA,teamrankings,1,UTSA -1
401525819,Houston,UTSA,consensus,0,UTSA -0
401525819,Houston,UTSA,Caesars Sportsbook (Colorado),2.5,UTSA -2.5
401520155,Illinois,Toledo,DraftKings,-9.5,Illinois -9.5
401520155,Illinois,Toledo,Bovada,-7.5,Illinois -7.5
401520155,Illinois,Toledo,teamrankings,-9,Illinois -9
