School,Year,Games,Wins,Losses,Ties,Preseason Rank,Postseason Rank,Srs,Sp Overall,Sp Offense,Sp Defense,First Name,Last Name,Hire Date,bye
LSU,2023,13,10,3,0,5,12,17.1,19.1,44.6,25,Brian,Kelly,2021-11-30T00:00:00.000Z,
Marshall,2023,13,6,7,0,,,-7.5,-9,24.4,31.5,Charles,Huff,2021-01-16T00:00:00.000Z,
Maryland,2023,13,8,5,0,,,8.4,11,28.3,17.6,Mike,Locksley,2018-12-04T00:00:00.000Z,
Massachusetts,2023,12,3,9,0,,,-15.2,-17.5,20.8,36.2,Don,Brown,2021-11-22T00:00:00.000Z,
Memphis,2023,13,10,3,0,,,1.8,3.5,37.1,33.8,Ryan,Silverfield,2019-12-13T00:00:00.000Z,
Miami,2023,13,7,6,0,,,8.8,9.6,30.7,23.1,Mario,Cristobal,2021-12-06T00:00:00.000Z,
Miami (OH),2023,14,11,3,0,,,-1.2,2.8,18.5,17.7,Chuck,Martin,2013-12-03T00:00:00.000Z,
Michigan,2023,15,15,0,0,2,1,25.9,31.3,36.6,7.2,Jim,Harbaugh,2014-12-30T00:00:00.000Z,
Michigan State,2023,10,2,8,0,,,-3.2,-6.8,15.7,24,Harlon,Barnett,,"0,6"
Michigan State,2023,2,2,0,0,,,-3.2,-6.8,15.7,24,Mel,Tucker,2020-02-11T00:00:00.000Z,"0,6"
Middle Tennessee,2023,12,4,8,0,,,-8.1,-9.5,21.5,30,Rick,Stockstill,2005-12-12T00:00:00.000Z,
Minnesota,2023,13,6,7,0,,,-2.3,0.4,20,21.1,P.J.,Fleck,2017-01-06T00:00:00.000Z,
Mississippi State,2023,10,4,6,0,,,-1.7,0.5,24.7,24.9,Zach,Arnett,2022-12-15T00:00:00.000Z,"0,7"
Mississippi State,2023,2,1,1,0,,,-1.7,0.5,24.7,24.9,Greg,Knox,,"0,7"
Missouri,2023,13,11,2,0,,8,14.7,19.3,36.5,18,Eli,Drinkwitz,2019-12-09T00:00:00.000Z,
